timestamp,round,threat_enemy_id,threat_enemy_type,threat_enemy_distance,threat_enemy_angle,threat_enemy_x,threat_enemy_y,threat_enemy_z,north_threat,north_northeast_threat,northeast_threat,east_northeast_threat,east_threat,east_southeast_threat,southeast_threat,south_southeast_threat,south_threat,south_southwest_threat,southwest_threat,west_southwest_threat,west_threat,west_northwest_threat,northwest_threat,north_northwest_threat
2025-12-25 16:16:26.783,1,5,Drone,29.31,120.49,21.26,17.0,-12.52,0.0,0.0,0.0,0.0,0.0,0.73,0.38,0.0,0.0,0.0,0.0,0.23,0.0,0.384,0.0,0.0
2025-12-25 16:17:09.031,2,3,Drone,29.57,-0.93,-0.41,17.0,24.98,0.622,0.096,0.185,0.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-25 16:17:34.123,3,2,Soldier,22.32,99.92,15.51,17.0,-2.71,0.0,0.0,0.171,0.0,0.528,0.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-25 16:17:51.321,4,4,Soldier,30.19,-119.96,-22.28,17.0,-12.84,0.0,0.282,0.0,0.0,0.0,0.051,0.0,0.024,0.0,0.0,0.0,0.303,0.0,0.201,0.0,0.0
2025-12-25 16:18:11.078,5,3,Drone,26.78,-64.46,-19.49,17.0,9.32,0.0,0.165,0.0,0.0,0.0,0.242,0.0,0.217,0.0,0.0,0.391,0.0,0.0,0.574,0.0,0.0
2025-12-25 16:18:49.686,6,1,Soldier,25.97,-81.35,-20.36,17.0,3.1,0.0,0.0,0.409,0.32,0.437,3.39,0.56,0.0,0.0,0.0,0.0,0.7,2.812,0.571,0.0,0.114
2025-12-25 16:19:09.769,7,12,Drone,29.36,-62.06,-21.85,17.0,11.59,0.0,-0.049,0.026,0.012,0.502,0.238,0.042,0.147,0.0,0.066,0.16,0.0,0.0,0.66,0.166,0.408
2025-12-25 16:19:52.801,8,10,Soldier,25.78,-166.46,-4.76,17.0,-19.79,0.0,0.0,0.0,0.0,0.0,0.0,0.687,1.295,2.796,1.363,0.44,0.0,0.0,0.0,0.0,0.0
2025-12-25 16:20:05.033,9,15,Soldier,25.51,50.03,15.34,17.0,12.85,0.284,0.558,2.032,0.114,1.552,2.417,0.476,0.609,0.0,0.078,0.0,0.0,0.0,0.375,0.0,0.132
2025-12-25 16:20:14.110,10,14,Soldier,18.77,-160.96,-3.3,17.0,-9.55,1.465,0.556,0.704,0.819,0.0,0.0,0.909,0.619,0.181,1.697,0.17,0.0,0.252,0.0,0.829,0.367
